symbol,token,,,,,
GINNIFILA-EQ,1142,,OFSS-EQ,10738,,OFSS-EQ
FORCEMOT-EQ,11573,,POLICYBZR-EQ,6656,,POLICYBZR-EQ
ULTRACEMCO-EQ,11532,,PIIND-EQ,24184,,PIIND-EQ
CCL-EQ,11452,,PAGEIND-EQ,14413,,PAGEIND-EQ
LALPATHLAB-EQ,11654,,PATANJALI-EQ,17029,,PATANJALI-EQ
GUFICBIO-EQ,11606,,PERSISTENT-EQ,18365,,PERSISTENT-EQ
JSWSTEEL-EQ,11723,,PETRONET-EQ,11351,,PETRONET-EQ
AMBER-EQ,1185,,PHOENIXLTD-EQ,14552,,PHOENIXLTD-EQ
JKPAPER-EQ,11860,,PIDILITIND-EQ,2664,,PIDILITIND-EQ
SURYALAXMI-EQ,11852,,POLYCAB-EQ,9590,,POLYCAB-EQ
HTMEDIA-EQ,11979,,PFC-EQ,14299,,PFC-EQ
NECLIFE-EQ,11927,,POWERGRID-EQ,14977,,POWERGRID-EQ
FAZE3Q-EQ,12000,,PREMIERENE-EQ,25049,,PREMIERENE-EQ
ZIMLAB-EQ,12384,,PRESTIGE-EQ,20302,,PRESTIGE-EQ
GSFC-EQ,1247,,PNB-EQ,10666,,PNB-EQ
GUJALKALI-EQ,1267,,RECLTD-EQ,15355,,RECLTD-EQ
AIAENG-EQ,13086,,RVNL-EQ,9552,,RVNL-EQ
VIMTALABS-EQ,13101,,RELIANCE-EQ,2885,,RELIANCE-EQ
GSEC10IETF-EQ,13143,,SBICARD-EQ,17971,,SBICARD-EQ
GSPL-EQ,13197,,SBILIFE-EQ,21808,,SBILIFE-EQ
KEC-EQ,13260,,SJVN-EQ,18883,,SJVN-EQ
SULA-EQ,13218,,SRF-EQ,3273,,SRF-EQ
GALLANTT-EQ,13337,,MOTHERSON-EQ,4204,,MOTHERSON-EQ
RSYSTEMS-EQ,13414,,SHREECEM-EQ,3103,,SHREECEM-EQ
GPIL-EQ,13409,,SHRIRAMFIN-EQ,4306,,SHRIRAMFIN-EQ
ALLCARGO-EQ,13501,,SIEMENS-EQ,3150,,SIEMENS-EQ
EMAMILTD-EQ,13517,,SOLARINDS-EQ,13332,,SOLARINDS-EQ
SAH-EQ,13689,,SONACOMS-EQ,4684,,SONACOMS-EQ
FLUOROCHEM-EQ,13750,,SBIN-EQ,3045,,SBIN-EQ
KUANTUM-EQ,13870,,SAIL-EQ,2963,,SAIL-EQ
MMFL-EQ,13844,,SUNPHARMA-EQ,3351,,SUNPHARMA-EQ
