symbol,token,,,,,
PERSISTENT-EQ,18365,,,,,
CUPID-EQ,18520,,,,,
CARYSIL-EQ,1879,,,,,
SIGNATURE-EQ,18743,,,,,
KAPSTON-EQ,18967,,,,,
VALIANTLAB-EQ,19218,,,,,
KOTAKBANK-EQ,1922,,,,,
ITDC-EQ,19299,,,,,
THEJO-EQ,19279,,,,,
ALPHAETF-EQ,19640,,,,,
LGHL-EQ,19876,,,,,
AHLADA-EQ,2004,,,,,
SASTASUNDR-EQ,20063,,,,,
INFRABEES-EQ,20072,,,,,
FACT-EQ,1008,,,,,
SETFNIF50-EQ,10176,,,,,
SYNGENE-EQ,10243,,,,,
ADANIENSOL-EQ,10217,,,,,
KAYA-EQ,10276,,,,,
NIFTYBEES-EQ,10576,,,,,
GUJGASLTD-EQ,10599,,,,,
FOSECOIND-EQ,1073,,,,,
ZENSARTECH-EQ,1076,,,,,
UNIONBANK-EQ,10753,,,,,
GVPTECH-EQ,10865,,,,,
JUNIORBEES-EQ,10939,,,,,
INFOBEAN-EQ,11027,,,,,
GODREJIND-EQ,10925,,,,,
SHRENIK-EQ,11149,,,,,
BIOCON-EQ,11373,,,,,
BANKBEES-EQ,11439,,,,,
HDFCLOWVOL-EQ,11547,,,,,
TEXINFRA-EQ,11549,,,,,
GMBREW-EQ,1168,,,,,
XCHANGING-EQ,11705,,,,,
GODFRYPHLP-EQ,1181,,,,,
SHAHALLOYS-EQ,11856,,,,,
63MOONS-EQ,11868,,,,,
SCPL-EQ,12072,,,,,
AAATECH-EQ,12533,,,,,
MBAPL-EQ,12686,,,,,
KRISHANA-EQ,12847,,,,,
N1NSETEST-EQ,12848,,,,,
V1NSETEST-EQ,12863,,,,,
DHARMAJ-EQ,13001,,,,,
NAHARINDUS-EQ,13106,,,,,
JAGRAN-EQ,13211,,,,,
NECCLTD-EQ,13522,,,,,
BANKETFADD-EQ,13644,,,,,
ANDHRSUGAR-EQ,136,,,,,
SHIVAMAUTO-EQ,13756,,,,,
BBL-EQ,13761,,,,,
VENUSREM-EQ,13859,,,,,
SOBHA-EQ,13826,,,,,
ZEEMEDIA-EQ,14003,,,,,
HBLENGINE-EQ,13966,,,,,
AVTNPL-EQ,14008,,,,,
SIYSIL-EQ,14096,,,,,
HINDPETRO-EQ,1406,,,,,
GANDHITUBE-EQ,14116,,,,,
HDFCMID150-EQ,14236,,,,,
TIIL-EQ,14223,,,,,
OSWALSEEDS-EQ,14305,,,,,
NAHARPOLY-EQ,14445,,,,,
GSLSU-EQ,14599,,,,,
TIMETECHNO-EQ,14707,,,,,
061NSETEST-EQ,14762,,,,,
081NSETEST-EQ,14767,,,,,
TARMAT-EQ,14771,,,,,
GOLD1-EQ,14858,,,,,
OMAXE-EQ,14853,,,,,
RGL-EQ,15129,,,,,
BLAL-EQ,15067,,,,,
PATINTLOG-EQ,15219,,,,,
MANKIND-EQ,15380,,,,,
ATALREAL-EQ,15649,,,,,
DHANI-EQ,15384,,,,,
RVHL-EQ,1565,,,,,
INFY-EQ,1594,,,,,
ALMONDZ-EQ,16719,,,,,
20MICRONS-EQ,16921,,,,,
MAWANASUG-EQ,17022,,,,,
URAVIDEF-EQ,17071,,,,,
AARTECH-EQ,17145,,,,,
ARMANFIN-EQ,17263,,,,,
NETWEB-EQ,17433,,,,,
ASALCBR-EQ,17598,,,,,
AHLUCONT-EQ,17833,,,,,
JSWENERGY-EQ,17869,,,,,
SUVENPHAR-EQ,17945,,,,,
GATECH-EQ,17888,,,,,
KAJARIACER-EQ,1808,,,,,
ORIENTLTD-EQ,18208,,,,,
DBL-EQ,18086,,,,,
IVZINGOLD-EQ,18292,,,,,
SAMHI-EQ,18614,,,,,
LTTS-EQ,18564,,,,,
EMSLIMITED-EQ,18593,,,,,
ICICIPRULI-EQ,18652,,,,,
VBL-EQ,18921,,,,,
MANAPPURAM-EQ,19061,,,,,
KIOCL-EQ,19126,,,,,
UMESLTD-EQ,19142,,,,,
KOPRAN-EQ,1919,,,,,
IRMENERGY-EQ,19597,,,,,
ITETF-EQ,19633,,,,,
KILITCH-EQ,19937,,,,,
RAMKY-EQ,20134,,,,,
OBEROIRLTY-EQ,20242,,,,,
INOXINDIA-EQ,20607,,,,,
ZEELEARN-EQ,20852,,,,,
ASHOKLEY-EQ,212,,,,,
AXISNIFTY-EQ,21252,,,,,
SENSEXETF-EQ,19224,,,,,
BLISSGVS-EQ,19265,,,,,
BOROLTD-EQ,19401,,,,,
TICL-EQ,19501,,,,,
KSB-EQ,1949,,,,,
BLUEJET-EQ,19686,,,,,
MASFIN-EQ,199,,,,,
ORISSAMINE-EQ,19931,,,,,
LIBERTSHOE-EQ,1994,,,,,
ASKAUTOLTD-EQ,20152,,,,,
UNIDT-EQ,201,,,,,
ARIHANTSUP-EQ,20159,,,,,
CLEDUCATE-EQ,20223,,,,,
RAMCOCEM-EQ,2043,,,,,
APCL-EQ,20453,,,,,
AXISGOLD-EQ,20532,,,,,
BAJEL-EQ,20531,,,,,
VTL-EQ,2073,,,,,
HUDCO-EQ,20825,,,,,
INNOVACAP-EQ,21062,,,,,
STARCEMENT-EQ,21091,,,,,
ERIS-EQ,21154,,,,,
AUBANK-EQ,21238,,,,,
GANGESSECU-EQ,21399,,,,,
STEELXIND-EQ,21339,,,,,
JYOTICNC-EQ,21334,,,,,
BDL-EQ,2144,,,,,
DIXON-EQ,21690,,,,,
IEX-EQ,220,,,,,
WORTH-EQ,22277,,,,,
HEALTHADD-EQ,22592,,,,,
PFS-EQ,22602,,,,,
JSFB-EQ,22663,,,,,
LICNMID100-EQ,22722,,,,,
MRPL-EQ,2283,,,,,
PLATIND-EQ,22930,,,,,
MTNL-EQ,2294,,,,,
GOPAL-EQ,23066,,,,,
GODIGIT-EQ,23799,,,,,
BBNPNBETF-EQ,24117,,,,,
OMINFRAL-EQ,24231,,,,,
ABGSEC-EQ,24404,,,,,
NOCIL-EQ,2442,,,,,
ADL-EQ,245,,,,,
OLAELEC-EQ,24777,,,,,
ECOSMOBLTY-EQ,25060,,,,,
TDPOWERSYS-EQ,25178,,,,,
BAJAJHFL-EQ,25270,,,,,
GROWWLIQID-EQ,25447,,,,,
PAISALO-EQ,25468,,,,,
METAL-EQ,25744,,,,,
PRECWIRE-EQ,2717,,,,,
EIEL-EQ,27213,,,,,
INTENTECH-EQ,20071,,,,,
NRAIL-EQ,20314,,,,,
IRFC-EQ,2029,,,,,
GRAVITA-EQ,20534,,,,,
JAMNAAUTO-EQ,20778,,,,,
MOTISONS-EQ,20788,,,,,
MAHSEAMLES-EQ,2088,,,,,
STOVEKRAFT-EQ,2107,,,,,
GTPL-EQ,21195,,,,,
SUMMITSEC-EQ,21275,,,,,
SALASAR-EQ,21362,,,,,
TATAGOLD-EQ,21401,,,,,
MFSL-EQ,2142,,,,,
OPTIEMUS-EQ,21469,,,,,
SIS-EQ,21501,,,,,
RHFL-EQ,21733,,,,,
ICICIGI-EQ,21770,,,,,
ITIETF-EQ,22365,,,,,
MODIRUBBER-EQ,2229,,,,,
NIF10GETF-EQ,22524,,,,,
MOTOGENFIN-EQ,2268,,,,,
MRF-EQ,2277,,,,,
GOLDCASE-EQ,22901,,,,,
MUKKA-EQ,22980,,,,,
MURUDCERA-EQ,2313,,,,,
SCILAL-EQ,23127,,,,,
NCC-EQ,2319,,,,,
JAYNECOIND-EQ,2331,,,,,
181NSETEST-EQ,23447,,,,,
AAKASH-EQ,235,,,,,
GLOSTERLTD-EQ,23590,,,,,
MUTHOOTFIN-EQ,23650,,,,,
INDGN-EQ,23693,,,,,
AWFIS-EQ,23864,,,,,
LIQUIDBETF-EQ,23915,,,,,
BOROSCI-EQ,24014,,,,,
TOP100CASE-EQ,24081,,,,,
IVZINNIFTY-EQ,24217,,,,,
AFIL-EQ,24159,,,,,
RELTD-EQ,24596,,,,,
BSLNIFTY-EQ,24781,,,,,
INTERARCH-EQ,24909,,,,,
SILGO-EQ,2492,,,,,
ORIENTPPR-EQ,2496,,,,,
BODALCHEM-EQ,25017,,,,,
VASWANI-EQ,25340,,,,,
ARKADE-EQ,25398,,,,,
NORTHARC-EQ,25426,,,,,
MANBA-EQ,25597,,,,,
OCCLLTD-EQ,25918,,,,,
EMULTIMQ-EQ,25996,,,,,
ATUL-EQ,263,,,,,
DRCSYSTEMS-EQ,2645,,,,,
MASTERTR-EQ,27047,,,,,
PRAKASH-EQ,2708,,,,,
ACMESOLAR-EQ,27061,,,,,
PRECOT-EQ,2711,,,,,
CINELINE-EQ,27161,,,,,
CRAFTSMAN-EQ,2854,,,,,
RICOAUTO-EQ,2909,,,,,
AGARWALEYE-EQ,29452,,,,,
REPCOHOME-EQ,29598,,,,,
AJAXENGG-EQ,29624,,,,,
HEXT-EQ,29666,,,,,
SANDESH-EQ,2988,,,,,
SPECTRUM-EQ,30455,,,,,
VEDL-EQ,3063,,,,,
SHANTIGEAR-EQ,3078,,,,,
JTEKTINDIA-EQ,3237,,,,,
BAJFINANCE-EQ,317,,,,,
BALKRISIND-EQ,335,,,,,
SPIC-EQ,3252,,,,,
CLSEL-EQ,3482,,,,,
TATASTEEL-EQ,3499,,,,,
TTKPRESTIG-EQ,3546,,,,,
UNICHEMLAB-EQ,3579,,,,,
UCAL-EQ,3570,,,,,
VSTIND-EQ,3724,,,,,
VIPIND-EQ,3703,,,,,
VENKEYS-EQ,3757,,,,,
BBTC-EQ,380,,,,,
PREMIERPOL-EQ,3908,,,,,
ARIHANTCAP-EQ,3813,,,,,
ZEEL-EQ,3812,,,,,
SILINV-EQ,4105,,,,,
BEPL-EQ,419,,,,,
EIMCOELECO-EQ,4040,,,,,
AEGISLOG-EQ,40,,,,,
KHADIM-EQ,425,,,,,
BANKBARODA-EQ,4668,,,,,
ADROITINFO-EQ,4953,,,,,
NUVOCO-EQ,5426,,,,,
NGIL-EQ,5401,,,,,
JAIPURKURT-EQ,5516,,,,,
SERVOTECH-EQ,5507,,,,,
CUB-EQ,5701,,,,,
ITDCEM-EQ,5622,,,,,
PARAS-EQ,5911,,,,,
AXISBANK-EQ,5900,,,,,
GRAPHITE-EQ,592,,,,,
CARBORUNIV-EQ,595,,,,,
HEALTHY-EQ,6297,,,,,
CESC-EQ,628,,,,,
MEDICAMEQ-EQ,6278,,,,,
APOLSINHOT-EQ,6302,,,,,
JINDALSTEL-EQ,6733,,,,,
LAXMICOT-EQ,6568,,,,,
FOODSIN-EQ,6673,,,,,
EXIDEIND-EQ,676,,,,,
AARTIIND-EQ,7,,,,,
TARSONS-EQ,6943,,,,,
ASIANENE-EQ,7030,,,,,
JETFREIGHT-EQ,7211,,,,,
SETFNN50-EQ,7353,,,,,
RAJESHEXPO-EQ,7401,,,,,
CREST-EQ,13900,,,,,
PRAENG-EQ,13941,,,,,
HINDUNILVR-EQ,1394,,,,,
ABSLBANETF-EQ,13987,,,,,
SARLAPOLY-EQ,14043,,,,,
UNOMINDA-EQ,14154,,,,,
NINSYS-EQ,14194,,,,,
TVSSRICHAK-EQ,14245,,,,,
HSCL-EQ,14334,,,,,
APOLLOPIPE-EQ,14361,,,,,
PAGEIND-EQ,14413,,,,,
ASTRAL-EQ,14418,,,,,
EMBDL-EQ,14450,,,,,
ABSLLIQUID-EQ,14518,,,,,
AROGRANITE-EQ,14557,,,,,
PHOENIXLTD-EQ,14552,,,,,
WEBELSOLAR-EQ,14602,,,,,
ADVANIHOTR-EQ,14745,,,,,
031NSETEST-EQ,14753,,,,,
131NSETEST-EQ,14778,,,,,
071NSETEST-EQ,14764,,,,,
BAJAJELEC-EQ,15034,,,,,
RHL-EQ,15157,,,,,
COLPAL-EQ,15141,,,,,
LICNFNHGP-EQ,15229,,,,,
UJJIVANSFB-EQ,15228,,,,,
MANAKSIA-EQ,15199,,,,,
NESCO-EQ,15409,,,,,
APOLLOHOSP-EQ,157,,,,,
RAIN-EQ,15337,,,,,
FAIRCHEMOR-EQ,1614,,,,,
BAJAJFINSV-EQ,16675,,,,,
DIGISPICE-EQ,16683,,,,,
SIGMA-EQ,16658,,,,,
RPGLIFE-EQ,16725,,,,,
KOKUYOCMLN-EQ,16827,,,,,
IKIO-EQ,16822,,,,,
PATANJALI-EQ,17029,,,,,
INDBANK-EQ,16933,,,,,
HMAAGRO-EQ,17053,,,,,
SHRIPISTON-EQ,17186,,,,,
UTKARSHBNK-EQ,17358,,,,,
ADANIPOWER-EQ,17388,,,,,
RTNPOWER-EQ,17520,,,,,
MOLDTECH-EQ,17625,,,,,
SARDAEN-EQ,17758,,,,,
SHILPAMED-EQ,17752,,,,,
QUAL30IETF-EQ,17808,,,,,
GEEKAYWIRE-EQ,17922,,,,,
TRF-EQ,17987,,,,,
AWHCL-EQ,1797,,,,,
SRGHFL-EQ,18119,,,,,
AEROFLEX-EQ,18268,,,,,
SPAL-EQ,18252,,,,,
NDGL-EQ,18371,,,,,
JLHL-EQ,18553,,,,,
MITTAL-EQ,18562,,,,,
DIAMINESQ-EQ,18644,,,,,
KIRLOSBROS-EQ,18581,,,,,
AARVI-EQ,19073,,,,,
UDS-EQ,19113,,,,,
EMAMIREAL-EQ,19277,,,,,
IMFA-EQ,19235,,,,,
HISARMETAL-EQ,19322,,,,,
AHLEAST-EQ,19438,,,,,
IITL-EQ,19525,,,,,
LIQUIDSBI-EQ,19705,,,,,
GPPL-EQ,19731,,,,,
LMW-EQ,1979,,,,,
CPCAP-EQ,20086,,,,,
SHAH-EQ,20296,,,,,
FEDFINA-EQ,20322,,,,,
NACLIND-EQ,20425,,,,,
PSPPROJECT-EQ,20877,,,,,
MUTHOOTMF-EQ,20831,,,,,
A2ZINFRA-EQ,20906,,,,,
MANGLMCEM-EQ,2106,,,,,
BFINVEST-EQ,21113,,,,,
SURANASOL-EQ,21077,,,,,
DIGIDRIVE-EQ,21247,,,,,
AVADHSUGAR-EQ,21406,,,,,
MATRIMONY-EQ,21726,,,,,
SUNDARMHLD-EQ,2183,,,,,
HFCL-EQ,21951,,,,,
TOTAL-EQ,22423,,,,,
MAXIND-EQ,22428,,,,,
NIF5GETF-EQ,22521,,,,,
MON100-EQ,22739,,,,,
SMALLCAP-EQ,22832,,,,,
JUNIPER-EQ,22824,,,,,
KRYSTAL-EQ,23175,,,,,
171NSETEST-EQ,23446,,,,,
ABSLPSE-EQ,23806,,,,,
NAVNETEDUL-EQ,2385,,,,,
RETAIL-EQ,24145,,,,,
VADILALIND-EQ,24196,,,,,
ESTER-EQ,24265,,,,,
SBISILVER-EQ,24366,,,,,
BANSALWIRE-EQ,24386,,,,,
RUSHIL-EQ,24595,,,,,
MAITHANALL-EQ,24538,,,,,
UNIECOM-EQ,24809,,,,,
ONGC-EQ,2475,,,,,
GSEC10ABSL-EQ,24847,,,,,
ORIENTHOT-EQ,2493,,,,,
SURAJLTD-EQ,24966,,,,,
GALAPREC-EQ,25134,,,,,
SANOFICONR-EQ,25222,,,,,
BALAJEE-EQ,25203,,,,,
APLLTD-EQ,25328,,,,,
RUPA-EQ,25724,,,,,
GARUDA-EQ,25800,,,,,
MINDACORP-EQ,25897,,,,,
SWIGGY-EQ,27066,,,,,
SAMPANN-EQ,27303,,,,,
PRSMJOHNSN-EQ,2739,,,,,
AUROPHARMA-EQ,275,,,,,
RANASUG-EQ,2837,,,,,
RCF-EQ,2866,,,,,
MAMATA-EQ,28687,,,,,
HITECH-EQ,2868,,,,,
MAYURUNIQ-EQ,28906,,,,,
BEDMUTHA-EQ,20196,,,,,
PRESTIGE-EQ,20302,,,,,
RESPONIND-EQ,20323,,,,,
CGCL-EQ,20329,,,,,
SHANKARA-EQ,20321,,,,,
INDIGOPNTS-EQ,2048,,,,,
BBNPPGOLD-EQ,20547,,,,,
DOLLAR-EQ,20560,,,,,
DOMS-EQ,20551,,,,,
SUPERHOUSE-EQ,20616,,,,,
SUNCLAY-EQ,20956,,,,,
PSB-EQ,21001,,,,,
LOWVOLIETF-EQ,21254,,,,,
MOM100-EQ,21423,,,,,
DYNPRO-EQ,21314,,,,,
THEINVEST-EQ,21427,,,,,
UTINEXT50-EQ,21478,,,,,
COCHINSHIP-EQ,21508,,,,,
DCAL-EQ,21704,,,,,
TEXRAIL-EQ,21828,,,,,
NIFTYBETF-EQ,21959,,,,,
DHUNINV-EQ,22233,,,,,
NDRAUTO-EQ,22255,,,,,
NOVAAGRI-EQ,22477,,,,,
HDFCPSUBK-EQ,22595,,,,,
CAPITALSFB-EQ,22675,,,,,
HAL-EQ,2303,,,,,
MOREALTY-EQ,23184,,,,,
AADHARHFC-EQ,23729,,,,,
MIDSMALL-EQ,23855,,,,,
IXIGO-EQ,24067,,,,,
ABDL-EQ,24308,,,,,
SBINEQWETF-EQ,24524,,,,,
RELIABLE-EQ,24378,,,,,
PREMIERENE-EQ,25049,,,,,
KRN-EQ,25643,,,,,
VIKASECO-EQ,25756,,,,,
DIVOPPBEES-EQ,2636,,,,,
AVL-EQ,25984,,,,,
PIDILITIND-EQ,2664,,,,,
CHEMCON-EQ,270,,,,,
SWANENERGY-EQ,27095,,,,,
NIVABUPA-EQ,27097,,,,,
BUTTERFLY-EQ,2716,,,,,
CHEMFAB-EQ,2799,,,,,
RANEHOLDIN-EQ,2844,,,,,
ROSSELLIND-EQ,28913,,,,,
ECAPINSURE-EQ,29019,,,,,
ZUARI-EQ,29050,,,,,
DENTA-EQ,29256,,,,,
SURAKSHA-EQ,27334,,,,,
SAILIFE-EQ,27839,,,,,
RALLIS-EQ,2816,,,,,
IGIL-EQ,28378,,,,,
RAYMOND-EQ,2859,,,,,
SANATHAN-EQ,28805,,,,,
TVSHLTD-EQ,29008,,,,,
ORCHASP-EQ,29492,,,,,
BAJAJINDEF-EQ,29678,,,,,
UNIONGOLD-EQ,29687,,,,,
QPOWER-EQ,29711,,,,,
ORIENTELEC-EQ,2972,,,,,
NAZARA-EQ,2987,,,,,
JINDALSAW-EQ,3024,,,,,
AONELIQUID-EQ,30472,,,,,
COMPUSOFT-EQ,31138,,,,,
MCX-EQ,31181,,,,,
HONDAPOWER-EQ,3138,,,,,
NDL-EQ,31258,,,,,
SHREYANIND-EQ,3126,,,,,
BORORENEW-EQ,3149,,,,,
SIMPLEXINF-EQ,3162,,,,,
LYPSAGEMS-EQ,31468,,,,,
SPMLINFRA-EQ,3321,,,,,
SUNFLAG-EQ,3348,,,,,
SUNPHARMA-EQ,3351,,,,,
BALMLAWRIE-EQ,338,,,,,
TIL-EQ,3484,,,,,
SMLISUZU-EQ,3387,,,,,
VESUVIUS-EQ,3676,,,,,
IWEL-EQ,3776,,,,,
GREENPLY-EQ,3987,,,,,
HDFCAMC-EQ,4244,,,,,
HERITGFOOD-EQ,4598,,,,,
GAIL-EQ,4717,,,,,
INDRAMEDCO-EQ,4751,,,,,
DCMFINSERV-EQ,4775,,,,,
KIMS-EQ,4847,,,,,
ICEMAKE-EQ,489,,,,,
ENGINERSIN-EQ,4907,,,,,
SGIL-EQ,5114,,,,,
GRINFRA-EQ,5054,,,,,
ANTGRAPHIC-EQ,5194,,,,,
SHANTI-EQ,5650,,,,,
IGARASHI-EQ,634,,,,,
SIKKO-EQ,6218,,,,,
MANORG-EQ,6422,,,,,
KRITI-EQ,6417,,,,,
IVC-EQ,6711,,,,,
STEELCAS-EQ,6803,,,,,
LINC-EQ,6951,,,,,
MENONBE-EQ,6961,,,,,
BSOFT-EQ,6994,,,,,
SEJALLTD-EQ,7091,,,,,
ANANDRATHI-EQ,7145,,,,,
SBIETFQLTY-EQ,7218,,,,,
HCLTECH-EQ,7229,,,,,
MEDPLUS-EQ,7254,,,,,
HPAL-EQ,7376,,,,,
DABUR-EQ,772,,,,,
IMAGICAA-EQ,7672,,,,,
CROWN-EQ,8083,,,,,
BANKA-EQ,822,,,,,
PRITI-EQ,8304,,,,,
TVSMOTOR-EQ,8479,,,,,
VRLLOG-EQ,8696,,,,,
TNIDETF-EQ,8882,,,,,
RITCO-EQ,8944,,,,,
PIXTRANS-EQ,9087,,,,,
EICHERMOT-EQ,910,,,,,
TAJGVK-EQ,9354,,,,,
SUBEXLTD-EQ,967,,,,,
TRIDENT-EQ,9685,,,,,
ONEPOINT-EQ,9939,,,,,
AETHER-EQ,9810,,,,,
CEWATER-EQ,28764,,,,,
LAXMIDENTL-EQ,29171,,,,,
STALLION-EQ,29204,,,,,
VMART-EQ,29284,,,,,
GROWWRAIL-EQ,29527,,,,,
NIF100BEES-EQ,29577,,,,,
SANGHIIND-EQ,2997,,,,,
BSE500IETF-EQ,3001,,,,,
ABFRL-EQ,30108,,,,,
MID150-EQ,30469,,,,,
TIINDIA-EQ,312,,,,,
SCI-EQ,3048,,,,,
TRANSWORLD-EQ,3129,,,,,
NBCC-EQ,31415,,,,,
JPOLYINVST-EQ,31507,,,,,
ANGELONE-EQ,324,,,,,
ADOR-EQ,34,,,,,
TAINWALCHM-EQ,3396,,,,,
SWARAJENG-EQ,3384,,,,,
AJOONI-EQ,3403,,,,,
THOMASCOOK-EQ,3481,,,,,
TFCILTD-EQ,3466,,,,,
TIRUMALCHM-EQ,3496,,,,,
TNPETRO-EQ,3509,,,,,
AXISHCETF-EQ,3608,,,,,
VARDMNPOLY-EQ,3646,,,,,
NAM-INDIA-EQ,357,,,,,
WILLAMAGOR-EQ,3772,,,,,
VINEETLAB-EQ,3807,,,,,
WSTCSTPAPR-EQ,3799,,,,,
BEL-EQ,383,,,,,
NAVA-EQ,4014,,,,,
PARASPETRO-EQ,3972,,,,,
AUSOMENT-EQ,4037,,,,,
SUNDRMBRAK-EQ,4179,,,,,
WENDT-EQ,4235,,,,,
KOTHARIPET-EQ,4594,,,,,
BIRLACORPN-EQ,480,,,,,
LIQUIDIETF-EQ,4838,,,,,
MADRASFERT-EQ,4911,,,,,
HINDCON-EQ,4920,,,,,
SHARDACROP-EQ,4992,,,,,
SBIETFCON-EQ,5168,,,,,
MAHAPEXLTD-EQ,5239,,,,,
ALIVUS-EQ,5265,,,,,
INDUSINDBK-EQ,5258,,,,,
BPCL-EQ,526,,,,,
PRITIKAUTO-EQ,5292,,,,,
ASAHIINDIA-EQ,5378,,,,,
EXXARO-EQ,5352,,,,,
EPIGRAL-EQ,5382,,,,,
MOL-EQ,5394,,,,,
AAVAS-EQ,5385,,,,,
TRIGYN-EQ,5428,,,,,
RELINFRA-EQ,553,,,,,
INTLCONV-EQ,5606,,,,,
AMIORG-EQ,5578,,,,,
CYBERTECH-EQ,6051,,,,,
CENTENKA-EQ,619,,,,,
3IINFOLTD-EQ,6232,,,,,
ABREL-EQ,625,,,,,
TECH-EQ,6462,,,,,
GENUSPAPER-EQ,6600,,,,,
MOLDTKPAC-EQ,6713,,,,,
SJS-EQ,6643,,,,,
BAJAJHCARE-EQ,6863,,,,,
SMLT-EQ,6843,,,,,
JMA-EQ,7109,,,,,
SHALBY-EQ,714,,,,,
SUPRIYA-EQ,7390,,,,,
SHRIRAMPPS-EQ,7200,,,,,
MONQ50-EQ,7422,,,,,
HAVISHA-EQ,7457,,,,,
NRBBEARING-EQ,7553,,,,,
MONARCH-EQ,7679,,,,,
DALMIASUG-EQ,781,,,,,
AUTOBEES-EQ,7880,,,,,
RAMCOSYS-EQ,7851,,,,,
BYKE-EQ,7919,,,,,
MHLXMIRU-EQ,7886,,,,,
ZYDUSLIFE-EQ,7929,,,,,
CINEVISTA-EQ,8024,,,,,
MEGASTAR-EQ,8153,,,,,
BLUESTARCO-EQ,8311,,,,,
GSEC5IETF-EQ,8342,,,,,
LOWVOL1-EQ,8632,,,,,
VETO-EQ,8652,,,,,
MUKTAARTS-EQ,8687,,,,,
PNBGILTS-EQ,8736,,,,,
ARVINDFASN-EQ,9111,,,,,
SILVERTUC-EQ,9422,,,,,
ELGIEQUIP-EQ,937,,,,,
KHANDSE-EQ,9641,,,,,
ALANKIT-EQ,9921,,,,,
EBBETF0431-EQ,22239,,,,,
ALPL30IETF-EQ,22344,,,,,
LOVABLE-EQ,22415,,,,,
BANDHANBNK-EQ,2263,,,,,
RPTECH-EQ,22670,,,,,
VSTL-EQ,22730,,,,,
MUNJALSHOW-EQ,2307,,,,,
MOSMALL250-EQ,23181,,,,,
SMCGLOBAL-EQ,2320,,,,,
SINCLAIR-EQ,23480,,,,,
KRONOX-EQ,24025,,,,,
NEULANDLAB-EQ,2406,,,,,
DEEDEV-EQ,24154,,,,,
CONSUMBEES-EQ,2435,,,,,
RAILTEL-EQ,2431,,,,,
DHANUKA-EQ,24409,,,,,
AGIIL-EQ,24445,,,,,
OILIETF-EQ,24533,,,,,
SANSTAR-EQ,24582,,,,,
CEIGALL-EQ,24742,,,,,
GROWWEV-EQ,24798,,,,,
MULTICAP-EQ,25080,,,,,
TOP10ADD-EQ,25171,,,,,
XTGLOBAL-EQ,25235,,,,,
PANAMAPET-EQ,25392,,,,,
TRITURBINE-EQ,25584,,,,,
HUHTAMAKI-EQ,2562,,,,,
UYFINCORP-EQ,25626,,,,,
GROWWDEFNC-EQ,25758,,,,,
PEARLPOLY-EQ,2610,,,,,
POLYPLEX-EQ,2687,,,,,
RTNINDIA-EQ,27297,,,,,
AUTOAXLES-EQ,278,,,,,
LXCHEM-EQ,2841,,,,,
ARVEE-EQ,2814,,,,,
TRANSRAILL-EQ,28714,,,,,
RELIANCE-EQ,2885,,,,,
CARRARO-EQ,28879,,,,,
CONSUMER-EQ,28969,,,,,
INDUSTOWER-EQ,29135,,,,,
PROTEAN-EQ,29472,,,,,
SAKHTISUG-EQ,2969,,,,,
NIFTY100EW-EQ,29944,,,,,
ATULAUTO-EQ,30023,,,,,
MOCAPITAL-EQ,30065,,,,,
AXISTECETF-EQ,3010,,,,,
PRABHA-EQ,30134,,,,,
AXISVALUE-EQ,30155,,,,,
SAURASHCEM-EQ,3018,,,,,
BHARATSE-EQ,30244,,,,,
DBSTOCKBRO-EQ,31107,,,,,
SUPERSPIN-EQ,3357,,,,,
SUBROS-EQ,3324,,,,,
BBOX-EQ,3435,,,,,
TORNTPHARM-EQ,3518,,,,,
JUBLPHARMA-EQ,3637,,,,,
ROML-EQ,359,,,,,
FINEORG-EQ,3744,,,,,
WIPRO-EQ,3787,,,,,
KHAITANLTD-EQ,3912,,,,,
BEML-EQ,395,,,,,
ZUARIIND-EQ,3827,,,,,
PVP-EQ,4010,,,,,
BERGEPAINT-EQ,404,,,,,
SOMATEX-EQ,4201,,,,,
MOTHERSON-EQ,4204,,,,,
IFGLEXPOR-EQ,436,,,,,
AARTIDRUGS-EQ,4481,,,,,
HDFCLIFE-EQ,467,,,,,
SNOWMAN-EQ,4843,,,,,
BANKINDIA-EQ,4745,,,,,
INDSWFTLAB-EQ,4870,,,,,
PHARMABEES-EQ,4973,,,,,
IPL-EQ,4934,,,,,
MAZDOCK-EQ,509,,,,,
CLEAN-EQ,5049,,,,,
ICICIB22-EQ,522,,,,,
GMDCLTD-EQ,5204,,,,,
FMCGIETF-EQ,5306,,,,,
ROLEXRINGS-EQ,5279,,,,,
UTIAMC-EQ,527,,,,,
YUKEN-EQ,5501,,,,,
ABMINTLLTD-EQ,5549,,,,,
AXISCETF-EQ,5732,,,,,
GANESHBE-EQ,5614,,,,,
SANSERA-EQ,5751,,,,,
COASTCORP-EQ,6006,,,,,
ABSLAMC-EQ,6018,,,,,
EIFFL-EQ,6040,,,,,
FCL-EQ,6198,,,,,
CAMLINFINE-EQ,6216,,,,,
CONSUMIETF-EQ,6446,,,,,
FINOPB-EQ,6579,,,,,
GRPLTD-EQ,6543,,,,,
GREENLAM-EQ,6848,,,,,
NIPPOBATRY-EQ,6782,,,,,
CIPLA-EQ,694,,,,,
VISHNU-EQ,6908,,,,,
BBETF0432-EQ,7196,,,,,
ACCELYA-EQ,7053,,,,,
SBIETFPB-EQ,722,,,,,
MANAKALUCO-EQ,7420,,,,,
QUADFUTURE-EQ,29087,,,,,
